Date , Hour , Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
07-12-2023,1,00:00 - 00:15,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28
13:45 - 14:00,3050.76,3050.76,3050.76,3050.76,3050.76,3050.76,3050.76,3050.76,3050.76,3050.76,3050.76,3050.76,3050.76,3050.76
15,14:00 - 14:15,3087.22,3087.22,3087.22,3087.22,3087.22,3087.22,3087.22,3087.22,3087.22,3087.22,3087.22,3087.22,3087.22,3087.22
14:15 - 14:30,3087.30,3087.30,3087.30,3087.30,3087.30,3087.30,3087.30,3087.30,3087.30,3087.30,3087.30,3087.30,3087.30,3087.30
14:30 - 14:45,3087.65,3087.65,3087.65,3087.65,3087.65,3087.65,3087.65,3087.65,3087.65,3087.65,3087.65,3087.65,3087.65,3087.65
14:45 - 15:00,3113.11,3113.11,3113.11,3113.11,3113.11,3113.11,3113.11,3113.11,3113.11,3113.11,3113.11,3113.11,3113.11,3113.11
16,15:00 - 15:15,3217.04,3217.04,3217.04,3217.04,3217.04,3217.04,3217.04,3217.04,3217.04,3217.04,3217.04,3217.04,3217.04,3217.04
15:15 - 15:30,3217.82,3217.82,3217.82,3217.82,3217.82,3217.82,3217.82,3217.82,3217.82,3217.82,3217.82,3217.82,3217.82,3217.82
15:30 - 15:45,3300.77,3300.77,3300.77,3300.77,3300.77,3300.77,3300.77,3300.77,3300.77,3300.77,3300.77,3300.77,3300.77,3300.77
15:45 - 16:00,3340.93,3340.93,3340.93,3340.93,3340.93,3340.93,3340.93,3340.93,3340.93,3340.93,3340.93,3340.93,3340.93,3340.93
17,16:00 - 16:15,3560.66,3560.66,3560.66,3560.66,3560.66,3560.66,3560.66,3560.66,3560.66,3560.66,3560.66,3560.66,3560.66,3560.66
16:15 - 16:30,3660.77,3660.77,3660.77,3660.77,3660.77,3660.77,3660.77,3660.77,3660.77,3660.77,3660.77,3660.77,3660.77,3660.77
16:30 - 16:45,3731.06,3731.06,3731.06,3731.06,3731.06,3731.06,3731.06,3731.06,3731.06,3731.06,3731.06,3731.06,3731.06,3731.06
16:45 - 17:00,5289.41,5289.41,5289.41,5289.41,5289.41,5289.41,5289.41,5289.41,5289.41,5289.41,5289.41,5289.41,5289.41,5289.41
18,17:00 - 17:15,8630.83,8630.83,8630.83,8630.83,8630.83,8630.83,8630.83,8630.83,8630.83,8630.83,8630.83,8630.83,8630.83,8630.83
17:15 - 17:30,8680.05,8680.05,8680.05,8680.05,8680.05,8680.05,8680.05,8680.05,8680.05,8680.05,8680.05,8680.05,8680.05,8680.05
17:30 - 17:45,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
17:45 - 18:00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
19,18:00 - 18:15,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
18:15 - 18:30,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
18:30 - 18:45,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
18:45 - 19:00,8751.30,8751.30,8751.30,8751.30,8751.30,8751.30,8751.30,8751.30,8751.30,8751.30,8751.30,8751.30,8751.30,8751.30
